restaurant_id,restaurant_name,city,restaurant_type,cuisine_type,opening_year,avg_rating,delivery_radius_km,commission_percentage
R00292,"Tank, Sura and Dayal",Coimbatore,Premium Restaurant,Biryani,2016,4.0,2.4,28
R00293,Jhaveri-Ravi,Hyderabad,Cloud Kitchen,Biryani,2018,5.0,9.7,22
R00294,Patla Inc,Hyderabad,Premium Restaurant,North Indian,2021,4.6,2.8,17
R00295,Kadakia-Venkatesh,Hyderabad,Cloud Kitchen,South Indian,2025,4.7,3.6,19
R00296,"Tandon, Sankar and Khalsa",Bangalore,Premium Restaurant,Biryani,2016,4.6,4.2,16
R00297,"Randhawa, Rajan and Ravi",Bangalore,Fast Food Chain,Burger,2017,4.4,9.8,24
R00298,"Sankaran, Chaudhuri and Dara",Coimbatore,Cloud Kitchen,South Indian,2017,3.6,3.6,15
R00299,Din-Mani,Bangalore,Premium Restaurant,Pizza,2024,3.5,5.3,18
R00300,"Shukla, Purohit and Tak",Chennai,Fast Food Chain,Pizza,2019,4.6,9.9,17
R00301,Devi Inc,Chennai,Fast Food Chain,South Indian,2018,4.0,6.4,29
R00302,"Sharma, Kapur and Tandon",Chennai,Cloud Kitchen,North Indian,2017,5.0,7.6,23
R00303,"Sekhon, Mukherjee and Loke",Hyderabad,Fast Food Chain,North Indian,2022,4.1,2.9,25
R00304,Srinivasan PLC,Coimbatore,Cloud Kitchen,South Indian,2024,4.0,2.2,21
R00305,Bala-Chaudhary,Vijayawada,Fast Food Chain,Pizza,2016,3.5,3.4,26
R00306,"Chhabra, Purohit and Behl",Vijayawada,Cafe,Pizza,2018,3.5,6.8,26
R00307,"Peri, Chauhan and Hari",Coimbatore,Cloud Kitchen,South Indian,2024,3.7,9.6,30
R00308,"Lad, Nagarajan and Kaul",Chennai,Fast Food Chain,North Indian,2021,4.7,9.0,29
R00309,"Baral, Nagy and Chad",Chennai,Cloud Kitchen,Biryani,2026,3.9,8.1,28
R00310,"Ganesan, Mannan and Shetty",Hyderabad,Fast Food Chain,Pizza,2021,3.7,5.0,22
R00311,Sarma Ltd,Bangalore,Budget Restaurant,Biryani,2018,3.7,8.2,30
R00312,Bhat Inc,Chennai,Cloud Kitchen,Desserts,2025,4.7,2.5,28
R00313,Wagle-Shetty,Vijayawada,Cafe,Biryani,2018,4.4,4.0,19
R00314,Seshadri-Morar,Coimbatore,Cafe,Biryani,2019,4.9,8.5,19
R00315,Bawa-Sarkar,Hyderabad,Budget Restaurant,Desserts,2022,4.8,9.8,25
R00316,Dasgupta-Savant,Coimbatore,Premium Restaurant,South Indian,2024,3.6,2.1,15
R00317,Goyal-Chaudhary,Bangalore,Cloud Kitchen,Desserts,2025,3.8,4.3,28
R00318,"Bains, Bera and Choudhury",Coimbatore,Cafe,Burger,2016,4.0,8.7,20
R00319,"Deol, Jain and Bhasin",Hyderabad,Cloud Kitchen,Chinese,2025,4.3,6.0,23
R00320,Mukhopadhyay-Ben,Bangalore,Cafe,South Indian,2019,4.5,9.5,16
R00321,Dani PLC,Hyderabad,Budget Restaurant,North Indian,2022,3.6,9.0,16
R00322,Kalita-Dhar,Chennai,Budget Restaurant,Biryani,2020,3.6,3.9,26
R00323,Sampath Group,Bangalore,Budget Restaurant,Pizza,2026,4.5,5.0,22
R00324,"Gulati, Morar and Shankar",Bangalore,Cloud Kitchen,North Indian,2023,3.9,8.6,21
R00325,Samra-Bahri,Coimbatore,Fast Food Chain,North Indian,2017,3.8,9.3,20
R00326,"Seshadri, Shanker and Jani",Coimbatore,Cloud Kitchen,Chinese,2026,4.3,10.0,18
R00327,"Krish, Kanda and Peri",Chennai,Cloud Kitchen,Biryani,2018,3.6,8.3,25
R00328,Boase-Ramakrishnan,Vijayawada,Budget Restaurant,Biryani,2020,4.3,4.9,15
R00329,Rajagopal-Dave,Chennai,Premium Restaurant,Healthy Foods,2019,4.4,6.8,23
R00330,"Gill, Mitter and Jani",Coimbatore,Budget Restaurant,Pizza,2026,4.3,9.8,30
R00331,"Saxena, Malhotra and Venkatesh",Bangalore,Cafe,Pizza,2026,4.7,4.8,27
R00332,Pillay and Sons,Coimbatore,Fast Food Chain,Biryani,2017,4.9,6.0,25
R00333,Dyal PLC,Hyderabad,Fast Food Chain,Beverages,2019,4.9,8.1,22
R00334,"Basu, Biswas and Sura",Hyderabad,Fast Food Chain,Biryani,2024,4.3,3.2,19
R00335,Joshi-Doctor,Hyderabad,Cafe,South Indian,2016,4.6,10.0,24
R00336,Tripathi Ltd,Vijayawada,Premium Restaurant,North Indian,2020,4.4,9.4,28
R00337,Ratti Ltd,Chennai,Premium Restaurant,South Indian,2020,4.8,3.5,24
R00338,Chakrabarti Group,Chennai,Cafe,North Indian,2024,4.7,7.4,24
R00339,Dugar-Sawhney,Chennai,Premium Restaurant,Chinese,2025,3.9,3.9,22
R00340,Krish Inc,Chennai,Budget Restaurant,Beverages,2019,4.1,6.3,18
R00341,Shroff-Mutti,Coimbatore,Fast Food Chain,North Indian,2016,4.0,7.7,30
R00342,Singhal Ltd,Chennai,Fast Food Chain,Burger,2024,4.6,8.6,23
R00343,Nanda Group,Chennai,Premium Restaurant,South Indian,2026,4.7,8.4,16
R00344,Gandhi-Tandon,Bangalore,Cloud Kitchen,South Indian,2022,4.5,8.3,21
R00345,"Acharya, Randhawa and Bhat",Chennai,Cloud Kitchen,South Indian,2026,3.8,4.0,21
R00346,Sangha-Sharaf,Bangalore,Cloud Kitchen,South Indian,2019,4.0,3.8,29
R00347,"Gade, Patla and Murthy",Bangalore,Cafe,Healthy Foods,2023,4.6,8.7,22
R00348,Kapoor-Salvi,Bangalore,Budget Restaurant,South Indian,2022,4.7,2.4,22
R00349,Bhargava-Chowdhury,Chennai,Fast Food Chain,South Indian,2021,3.6,2.1,22
R00350,Issac-Kale,Bangalore,Cloud Kitchen,Biryani,2019,4.9,4.7,28
R00351,"Reddy, Jani and Aggarwal",Bangalore,Cafe,South Indian,2019,3.6,8.7,19
R00352,Nadkarni Inc,Bangalore,Budget Restaurant,Pizza,2020,4.0,3.3,17
R00353,"Krishnamurthy, Chaudhary and Shah",Bangalore,Cafe,Pizza,2025,3.9,5.4,21
R00354,"Char, Nayar and Issac",Hyderabad,Fast Food Chain,North Indian,2023,3.8,7.3,26
R00355,"Sanghvi, Sankaran and Uppal",Vijayawada,Fast Food Chain,Burger,2023,4.0,3.3,24
R00356,Pillay-Verma,Coimbatore,Premium Restaurant,South Indian,2017,3.7,3.9,20
R00357,"Handa, Vig and Sibal",Chennai,Premium Restaurant,Biryani,2019,4.4,6.1,20
R00358,"Iyer, Doshi and Barman",Chennai,Cloud Kitchen,South Indian,2020,4.7,7.3,15
R00359,"Kibe, Pandya and Balan",Chennai,Premium Restaurant,Biryani,2020,4.9,4.8,21
R00360,Pandit-Ahluwalia,Hyderabad,Premium Restaurant,North Indian,2016,4.0,6.7,24
R00361,Biswas LLC,Chennai,Cloud Kitchen,North Indian,2024,4.6,2.3,23
R00362,Natarajan-Sridhar,Coimbatore,Fast Food Chain,South Indian,2024,4.4,8.3,25
R00363,Kothari Inc,Hyderabad,Cafe,North Indian,2018,4.5,9.0,20
R00364,Rau LLC,Chennai,Cloud Kitchen,North Indian,2026,4.5,8.3,27
R00365,Loyal-Sani,Coimbatore,Premium Restaurant,Burger,2020,4.6,9.7,24
R00366,"Chaudry, Mannan and Kakar",Bangalore,Cloud Kitchen,Chinese,2021,4.2,3.4,21
R00367,Palan LLC,Bangalore,Budget Restaurant,Chinese,2026,4.7,9.3,27
R00368,Rout PLC,Bangalore,Fast Food Chain,South Indian,2016,3.6,7.4,21
R00369,Mandal Ltd,Bangalore,Budget Restaurant,Chinese,2019,5.0,6.5,23
R00370,Sharma LLC,Hyderabad,Premium Restaurant,Healthy Foods,2025,5.0,9.4,24
R00371,Biswas-Tripathi,Coimbatore,Cloud Kitchen,North Indian,2024,3.6,2.5,19
R00372,Luthra-Chaudhuri,Chennai,Budget Restaurant,Burger,2019,4.3,5.8,18
R00373,"Ghose, Verma and Pillai",Chennai,Cloud Kitchen,Pizza,2018,4.1,3.6,24
R00374,"Buch, Bhandari and Bhavsar",Chennai,Premium Restaurant,Biryani,2020,3.9,2.1,22
R00375,Parmer-Chopra,Bangalore,Premium Restaurant,Healthy Foods,2018,4.6,3.8,21
R00376,"Ghose, Thaker and Shetty",Chennai,Premium Restaurant,South Indian,2017,3.6,8.4,17
R00377,Murty Group,Coimbatore,Fast Food Chain,Pizza,2024,4.5,8.0,28
R00378,Dube Inc,Chennai,Cafe,Biryani,2024,4.5,2.8,27
R00379,"Banerjee, Choudhary and Atwal",Vijayawada,Fast Food Chain,Biryani,2023,4.0,7.5,15
R00380,"Balasubramanian, Saini and Sama",Chennai,Cloud Kitchen,Healthy Foods,2023,4.7,9.8,30
R00381,"Deep, Murty and Bansal",Chennai,Cloud Kitchen,South Indian,2023,3.9,8.3,20
R00382,"Lall, Sem and Barman",Chennai,Cafe,South Indian,2022,3.6,9.0,29
R00383,Wason-Bassi,Vijayawada,Cafe,Biryani,2024,4.8,3.3,18
R00384,"Amble, Sachdeva and Dixit",Bangalore,Premium Restaurant,North Indian,2024,4.2,6.1,26
R00385,"Wali, Talwar and Vohra",Coimbatore,Cloud Kitchen,South Indian,2019,4.7,9.4,28
R00386,Sunder Inc,Vijayawada,Fast Food Chain,Burger,2016,3.9,6.2,20
R00387,Kapoor-Devi,Bangalore,Fast Food Chain,South Indian,2024,3.6,8.1,24
R00388,Bora Inc,Bangalore,Cloud Kitchen,North Indian,2016,4.3,2.4,27
R00389,Sachdev-Rai,Chennai,Cafe,North Indian,2022,3.6,6.8,27
R00390,Patla-Mitra,Bangalore,Fast Food Chain,Biryani,2018,4.9,7.4,28
R00391,Chakraborty-Issac,Hyderabad,Cloud Kitchen,South Indian,2019,4.6,3.5,24
R00392,Chauhan LLC,Bangalore,Cafe,Burger,2022,4.6,9.4,22
R00393,"Pingle, Shankar and Sanghvi",Chennai,Cloud Kitchen,Chinese,2017,4.1,7.1,15
R00394,Agate-Palan,Hyderabad,Cafe,Biryani,2018,4.9,9.1,20
R00395,Zachariah and Sons,Chennai,Cloud Kitchen,North Indian,2026,3.7,7.9,17
R00396,"Seshadri, Sarma and Thakur",Hyderabad,Fast Food Chain,Burger,2022,4.0,8.1,16
R00397,Lala-Basak,Hyderabad,Cloud Kitchen,North Indian,2025,3.8,6.6,17
R00398,"Naik, Vyas and Desai",Bangalore,Premium Restaurant,Biryani,2019,5.0,5.1,26
R00399,Sridhar Inc,Chennai,Budget Restaurant,South Indian,2024,4.0,2.6,29
R00400,Tata Inc,Bangalore,Premium Restaurant,Burger,2021,4.8,7.6,18
R00401,Varma Ltd,Vijayawada,Budget Restaurant,Chinese,2022,4.4,7.5,17
R00402,"Chakrabarti, Cheema and Sahni",Hyderabad,Cloud Kitchen,Biryani,2026,4.0,6.8,18
R00403,"Sridhar, Grewal and Ravel",Chennai,Budget Restaurant,North Indian,2023,4.0,3.8,27
R00404,Jain Group,Coimbatore,Fast Food Chain,Pizza,2018,4.6,8.5,18
R00405,Sur-Sharaf,Bangalore,Cloud Kitchen,Pizza,2019,3.6,9.9,22
R00406,"Krishnamurthy, Oommen and Shroff",Bangalore,Premium Restaurant,Biryani,2017,4.4,3.6,20
R00407,Sabharwal PLC,Bangalore,Budget Restaurant,Biryani,2021,4.9,8.9,27
R00408,Parekh-Viswanathan,Bangalore,Cloud Kitchen,Chinese,2017,3.8,9.7,26
R00409,"Buch, Banerjee and Salvi",Hyderabad,Budget Restaurant,South Indian,2016,4.3,8.1,19
R00410,"Modi, Naik and Rajan",Hyderabad,Fast Food Chain,Biryani,2019,4.5,7.1,19
R00411,"Naik, Om and Bhakta",Chennai,Fast Food Chain,Biryani,2025,3.7,7.4,15
R00412,Deol LLC,Coimbatore,Budget Restaurant,North Indian,2018,4.9,3.3,25
R00413,Gala-Chandran,Hyderabad,Budget Restaurant,South Indian,2022,4.3,4.9,17
R00414,"Sha, Sahni and Kashyap",Hyderabad,Premium Restaurant,South Indian,2024,4.0,9.7,20
R00415,"Pall, Mistry and Wali",Hyderabad,Premium Restaurant,South Indian,2017,3.5,3.5,30
R00416,"Johal, Doctor and Viswanathan",Coimbatore,Fast Food Chain,North Indian,2023,4.9,6.7,20
R00417,Soman-Sidhu,Coimbatore,Cafe,Chinese,2016,4.2,3.3,16
R00418,Kibe Inc,Chennai,Cloud Kitchen,Biryani,2020,4.0,8.9,25
R00419,Khalsa LLC,Vijayawada,Budget Restaurant,Burger,2021,3.7,6.8,30
R00420,Warrior Group,Chennai,Premium Restaurant,Burger,2022,4.2,5.7,17
R00421,Tella LLC,Chennai,Cloud Kitchen,Biryani,2022,4.6,8.1,19
R00422,Thakur and Sons,Bangalore,Cafe,Chinese,2026,4.5,3.4,19
R00423,"Khurana, Chaudhuri and Bhavsar",Chennai,Cloud Kitchen,Biryani,2021,3.8,5.3,18
R00424,"Contractor, Butala and Sangha",Bangalore,Premium Restaurant,South Indian,2020,4.6,8.2,23
R00425,"Saran, Bobal and Sami",Hyderabad,Cafe,Pizza,2026,4.6,3.7,26
R00426,"Dora, Mohan and Lata",Chennai,Fast Food Chain,Burger,2025,4.4,3.5,23
R00427,Koshy LLC,Chennai,Cloud Kitchen,Pizza,2016,3.6,2.6,30
R00428,"Kalita, Chander and Lala",Chennai,Fast Food Chain,Biryani,2024,3.8,9.2,21
R00429,Kala LLC,Chennai,Cloud Kitchen,Biryani,2016,4.8,5.6,25
R00430,Bhagat-Narula,Bangalore,Premium Restaurant,Biryani,2026,4.9,7.3,30
R00431,"Sha, Sehgal and Sarraf",Hyderabad,Cloud Kitchen,North Indian,2018,3.9,6.5,16
R00432,Nagy-Nori,Hyderabad,Fast Food Chain,Burger,2025,4.1,2.3,27
R00433,Mishra-Sharaf,Chennai,Budget Restaurant,Pizza,2026,4.3,6.1,22
R00434,Ben-Narang,Bangalore,Budget Restaurant,Burger,2023,3.9,6.7,30
R00435,"Randhawa, Seshadri and Chhabra",Coimbatore,Fast Food Chain,Biryani,2023,4.7,8.4,27
R00436,Suresh and Sons,Chennai,Cloud Kitchen,Healthy Foods,2025,4.6,9.8,28
R00437,Swamy-Kapur,Chennai,Premium Restaurant,Biryani,2022,4.4,9.6,21
R00438,"Gera, Shanker and Gaba",Chennai,Cloud Kitchen,Desserts,2016,3.8,6.1,27
R00439,Mahajan LLC,Chennai,Cafe,North Indian,2019,4.7,3.2,16
R00440,Kunda-Goswami,Hyderabad,Cafe,South Indian,2023,4.0,5.0,25
R00441,Pillai-Kara,Bangalore,Cloud Kitchen,North Indian,2016,3.9,6.6,30
R00442,Wadhwa and Sons,Hyderabad,Budget Restaurant,Healthy Foods,2018,4.0,3.6,28
R00443,Kothari-Chandra,Bangalore,Premium Restaurant,Pizza,2024,4.3,4.2,15
R00444,Baria and Sons,Chennai,Cafe,Biryani,2021,4.1,8.4,22
R00445,Babu PLC,Bangalore,Budget Restaurant,Healthy Foods,2025,4.0,2.6,19
R00446,Pathak Ltd,Bangalore,Cafe,Healthy Foods,2020,4.4,8.0,18
R00447,Kala-Pathak,Bangalore,Cafe,Chinese,2024,3.6,2.8,16
R00448,Nagar-Dutt,Chennai,Budget Restaurant,Burger,2019,4.8,6.2,23
R00449,Savant Ltd,Hyderabad,Premium Restaurant,Pizza,2018,4.2,7.4,25
R00450,Nagy-Boase,Chennai,Budget Restaurant,South Indian,2018,4.1,5.8,27
R00451,Dugar-Chokshi,Chennai,Cafe,North Indian,2018,4.3,8.5,28
R00452,Tara and Sons,Bangalore,Cafe,South Indian,2021,4.8,2.8,29
R00453,Jhaveri PLC,Bangalore,Cloud Kitchen,Chinese,2020,4.8,2.1,28
R00454,Dugal-Chandran,Bangalore,Premium Restaurant,South Indian,2020,3.6,7.9,22
R00455,"Bakshi, Edwin and Ramesh",Coimbatore,Fast Food Chain,Biryani,2025,4.5,9.6,27
R00456,Nagarajan-Mandal,Chennai,Premium Restaurant,North Indian,2023,4.3,2.7,23
R00457,"Kala, Pillay and Agate",Hyderabad,Cloud Kitchen,North Indian,2023,4.9,2.5,27
R00458,Mangal Ltd,Chennai,Cafe,Biryani,2019,4.1,9.2,24
R00459,"Bumb, Parsa and Mandal",Chennai,Fast Food Chain,South Indian,2023,4.8,8.1,30
R00460,Ranganathan LLC,Hyderabad,Premium Restaurant,North Indian,2024,3.9,2.2,16
R00461,"Nagi, Bhakta and Kibe",Coimbatore,Budget Restaurant,Biryani,2020,4.2,2.8,18
R00462,"Dube, Hari and Batra",Chennai,Cloud Kitchen,South Indian,2024,4.3,5.3,25
R00463,Ghosh PLC,Bangalore,Cafe,South Indian,2025,3.7,4.2,18
R00464,Karnik-Amble,Bangalore,Cafe,Pizza,2018,4.3,2.8,17
R00465,Sha and Sons,Vijayawada,Cloud Kitchen,Biryani,2025,4.7,3.9,29
R00466,Prasad-Dave,Chennai,Fast Food Chain,South Indian,2017,4.9,6.1,29
R00467,Master-Hayer,Hyderabad,Cloud Kitchen,South Indian,2021,4.0,7.7,29
R00468,"Tata, Munshi and Shanker",Hyderabad,Fast Food Chain,Healthy Foods,2020,4.6,9.9,19
R00469,"Boase, Ramanathan and Shah",Bangalore,Budget Restaurant,Chinese,2019,4.7,3.5,25
R00470,Chakraborty-Balasubramanian,Hyderabad,Fast Food Chain,South Indian,2019,3.9,9.1,30
R00471,Mahajan-Vora,Hyderabad,Fast Food Chain,Chinese,2016,3.8,7.1,25
R00472,Sethi LLC,Bangalore,Fast Food Chain,Burger,2022,4.8,4.7,28
R00473,Rastogi Group,Bangalore,Fast Food Chain,North Indian,2019,4.7,6.7,20
R00474,"Mitra, Kapadia and Gandhi",Hyderabad,Cloud Kitchen,Chinese,2022,4.3,7.1,25
R00475,Varty PLC,Chennai,Premium Restaurant,North Indian,2025,4.3,7.0,17
R00476,"Bains, Dora and Dara",Chennai,Cloud Kitchen,North Indian,2022,4.1,9.1,28
R00477,Parekh-Sant,Hyderabad,Premium Restaurant,Pizza,2024,3.6,2.6,22
R00478,"Sankaran, Chakrabarti and Dewan",Chennai,Cloud Kitchen,Biryani,2024,4.3,8.3,25
R00479,Pandit and Sons,Bangalore,Budget Restaurant,South Indian,2024,4.9,5.4,19
R00480,Hayre-Rastogi,Vijayawada,Budget Restaurant,South Indian,2025,4.7,6.0,15
R00481,"Subramanian, Bali and Kala",Vijayawada,Cafe,North Indian,2020,3.5,6.4,22
R00482,"Swamy, Shroff and Dutta",Coimbatore,Fast Food Chain,Pizza,2024,3.8,3.9,30
R00483,Mandal-Dhaliwal,Bangalore,Fast Food Chain,Chinese,2020,4.7,3.2,15
R00484,Sagar Ltd,Bangalore,Cafe,Chinese,2025,4.6,7.7,27
R00485,"Rama, Kant and Cheema",Coimbatore,Cafe,North Indian,2023,4.6,3.3,26
R00486,Dass Ltd,Bangalore,Fast Food Chain,South Indian,2018,3.9,4.4,22
R00487,"Devan, Raman and Vaidya",Vijayawada,Fast Food Chain,Biryani,2017,3.7,8.3,16
R00488,Char-Mittal,Hyderabad,Cloud Kitchen,South Indian,2016,4.8,9.6,27
R00489,Raju LLC,Chennai,Premium Restaurant,North Indian,2026,4.1,6.1,28
R00490,Badami Ltd,Bangalore,Budget Restaurant,Biryani,2026,4.8,9.2,28
R00491,Jha-Peri,Hyderabad,Cafe,North Indian,2024,3.7,7.3,21
R00492,Mander-Kannan,Bangalore,Cloud Kitchen,Biryani,2023,4.1,2.7,20
R00493,Solanki-Vora,Coimbatore,Budget Restaurant,North Indian,2016,4.1,8.2,15
R00494,Nadkarni-Deol,Hyderabad,Budget Restaurant,Burger,2019,4.2,7.0,24
R00495,Sarraf-Parsa,Hyderabad,Premium Restaurant,Chinese,2017,4.3,2.2,22
R00496,"Khatri, Sangha and Dhawan",Hyderabad,Cloud Kitchen,North Indian,2018,4.6,9.1,29
R00497,Solanki-Comar,Coimbatore,Cloud Kitchen,South Indian,2016,4.1,6.3,23
R00498,Suri-Som,Chennai,Cloud Kitchen,North Indian,2026,4.8,2.2,27
R00499,Dixit Group,Bangalore,Cloud Kitchen,Chinese,2023,3.8,8.2,29
R00500,"Mukherjee, Verma and Radhakrishnan",Chennai,Budget Restaurant,Pizza,2020,4.2,5.1,25
R00501,Chandran-Reddy,Chennai,Cafe,South Indian,2025,4.9,5.7,23
R00502,"Sanghvi, Ganesan and Sahni",Chennai,Budget Restaurant,Burger,2016,4.6,4.7,15
R00503,Thakur-Nagarajan,Bangalore,Premium Restaurant,South Indian,2019,4.0,2.9,19
R00504,Dutta-Vohra,Hyderabad,Fast Food Chain,South Indian,2025,4.5,7.2,24
R00505,Pandey LLC,Chennai,Fast Food Chain,Pizza,2022,3.9,9.4,30
R00506,"Chokshi, Pandya and Khosla",Hyderabad,Premium Restaurant,Chinese,2017,4.3,7.8,30
R00507,"Kamdar, Suresh and Setty",Bangalore,Premium Restaurant,North Indian,2016,4.1,5.7,17
R00508,Wagle Inc,Hyderabad,Premium Restaurant,South Indian,2018,4.4,9.7,21
R00509,Banerjee Group,Chennai,Budget Restaurant,Biryani,2020,4.8,9.5,29
R00510,Modi-Char,Hyderabad,Fast Food Chain,South Indian,2017,4.2,9.7,16
R00511,Kaur-Banik,Chennai,Budget Restaurant,Healthy Foods,2017,4.0,8.3,20
R00512,"Zachariah, Nagarajan and Borde",Hyderabad,Fast Food Chain,Biryani,2025,4.5,6.6,29
R00513,"Mannan, Nagarajan and Gola",Hyderabad,Premium Restaurant,Pizza,2017,4.0,3.1,28
R00514,Bath PLC,Coimbatore,Cloud Kitchen,Burger,2024,4.2,2.7,30
R00515,"Bal, Goyal and Nagy",Vijayawada,Budget Restaurant,South Indian,2024,4.8,9.6,22
R00516,Bhakta Inc,Hyderabad,Cloud Kitchen,South Indian,2021,4.2,6.6,18
R00517,"Goel, Ray and Chadha",Hyderabad,Cafe,North Indian,2024,4.4,9.4,26
R00518,Divan Inc,Chennai,Budget Restaurant,Pizza,2024,3.5,8.2,15
R00519,Dara and Sons,Bangalore,Cloud Kitchen,South Indian,2023,4.1,6.2,15
R00520,Keer Group,Coimbatore,Budget Restaurant,North Indian,2025,4.8,9.6,26
R00521,Gokhale Inc,Hyderabad,Budget Restaurant,Biryani,2017,5.0,9.3,30
R00522,Amble-Raghavan,Bangalore,Budget Restaurant,Biryani,2021,4.4,7.9,18
R00523,Banik-Sen,Coimbatore,Cafe,Chinese,2026,3.8,6.4,25
R00524,"Dasgupta, Ahluwalia and Sama",Hyderabad,Fast Food Chain,Biryani,2025,4.2,4.4,23
R00525,Palla Ltd,Bangalore,Premium Restaurant,Biryani,2016,4.8,2.5,17
R00526,Hegde-Saran,Hyderabad,Fast Food Chain,North Indian,2020,4.1,7.6,19
R00527,"Pradhan, Goswami and Shah",Vijayawada,Fast Food Chain,Biryani,2025,3.6,4.3,26
R00528,"Korpal, Char and Sandal",Bangalore,Fast Food Chain,South Indian,2021,4.6,2.1,20
R00529,Anand-Wadhwa,Chennai,Cafe,North Indian,2021,4.6,8.2,25
R00530,"Chowdhury, Magar and Dubey",Bangalore,Cafe,North Indian,2017,4.9,8.3,28
R00531,Palan Group,Vijayawada,Cafe,Healthy Foods,2022,3.5,6.8,19
R00532,Magar PLC,Vijayawada,Premium Restaurant,North Indian,2025,4.6,7.2,26
R00533,"Bali, Datta and Pingle",Vijayawada,Budget Restaurant,Chinese,2018,4.4,9.8,20
R00534,Pradhan-Sant,Bangalore,Cafe,Chinese,2020,4.9,5.5,24
R00535,Deo Ltd,Chennai,Cloud Kitchen,Chinese,2024,4.1,5.8,19
R00536,Roy-Radhakrishnan,Vijayawada,Cafe,Desserts,2021,3.8,9.5,21
R00537,Sheth-Oommen,Bangalore,Cloud Kitchen,Burger,2023,3.8,8.3,17
R00538,Badal-Sehgal,Bangalore,Budget Restaurant,North Indian,2021,3.6,2.6,20
R00539,Sachdev-Bhargava,Bangalore,Cloud Kitchen,Pizza,2026,4.4,6.2,25
R00540,D’Alia-Mammen,Chennai,Budget Restaurant,Desserts,2020,4.0,9.4,21
R00541,"Kibe, Kannan and Sawhney",Coimbatore,Cafe,South Indian,2017,4.3,3.8,26
R00542,"Peri, Mander and Karnik",Chennai,Cloud Kitchen,Biryani,2020,4.7,6.3,29
R00543,Srinivasan-Devan,Bangalore,Premium Restaurant,North Indian,2017,3.6,6.8,20
R00544,"Taneja, Kohli and Kala",Chennai,Budget Restaurant,Biryani,2021,3.7,7.7,17
R00545,Shere-Prabhu,Bangalore,Cafe,South Indian,2016,4.3,4.8,17
R00546,Karpe-Sagar,Coimbatore,Budget Restaurant,North Indian,2020,3.8,5.3,28
R00547,"Nagy, Kapoor and Kashyap",Coimbatore,Premium Restaurant,South Indian,2018,4.5,6.0,20
R00548,Ganguly Inc,Chennai,Fast Food Chain,Burger,2021,4.8,3.2,22
R00549,"Memon, Dhar and Mukherjee",Bangalore,Premium Restaurant,Chinese,2016,4.1,7.5,26
R00550,"Bansal, Dyal and Memon",Coimbatore,Cloud Kitchen,Biryani,2022,4.0,8.8,23
R00551,"Pandya, Raja and Solanki",Coimbatore,Fast Food Chain,South Indian,2024,4.0,3.9,26
R00552,Edwin Inc,Hyderabad,Fast Food Chain,North Indian,2024,3.6,6.5,17
R00553,Gandhi-Goswami,Hyderabad,Fast Food Chain,Desserts,2024,3.8,4.0,23
R00554,More Inc,Chennai,Cafe,Pizza,2025,4.5,2.7,29
R00555,Pai Ltd,Hyderabad,Fast Food Chain,Healthy Foods,2019,4.2,3.3,22
R00556,Sane-Contractor,Bangalore,Cafe,Biryani,2023,4.5,7.0,29
R00557,"Garg, Grover and Amble",Chennai,Premium Restaurant,Chinese,2019,4.3,9.7,15
R00558,Deshpande-Mitter,Chennai,Budget Restaurant,Pizza,2022,4.9,6.6,21
R00559,Subramaniam-Hari,Vijayawada,Budget Restaurant,North Indian,2026,4.5,5.6,28
R00560,Mitter-Ganesh,Coimbatore,Fast Food Chain,Pizza,2016,4.7,4.5,24
R00561,Saxena-Oza,Chennai,Budget Restaurant,Biryani,2024,4.9,7.3,16
R00562,"Walla, Mohanty and Sem",Hyderabad,Premium Restaurant,Biryani,2020,3.9,4.4,27
R00563,Cheema and Sons,Chennai,Cloud Kitchen,Chinese,2020,3.8,7.8,25
R00564,"Amble, Kade and Baral",Hyderabad,Budget Restaurant,North Indian,2018,4.8,3.7,23
R00565,"Narayanan, Pandey and Bumb",Coimbatore,Cloud Kitchen,Biryani,2018,4.0,3.3,21
R00566,Basak-Doshi,Chennai,Cafe,Pizza,2018,4.6,8.6,30
R00567,Nagy Inc,Chennai,Fast Food Chain,Pizza,2021,4.0,9.3,22
R00568,"Iyer, Comar and Kar",Bangalore,Budget Restaurant,Desserts,2016,4.7,2.6,16
R00569,"Pillay, Warrior and Divan",Bangalore,Budget Restaurant,Healthy Foods,2024,3.9,4.5,29
R00570,Lala and Sons,Hyderabad,Cafe,Pizza,2016,4.5,3.5,26
R00571,Konda Inc,Coimbatore,Budget Restaurant,Burger,2016,4.9,3.1,27
R00572,Kala-Reddy,Vijayawada,Fast Food Chain,South Indian,2022,4.2,9.5,29
R00573,Dani LLC,Chennai,Fast Food Chain,North Indian,2022,4.7,3.0,21
R00574,Sama-Dubey,Bangalore,Budget Restaurant,South Indian,2021,4.4,5.8,16
R00575,Zacharia-Nagarajan,Coimbatore,Cafe,South Indian,2018,4.8,3.9,27
R00576,"Memon, Din and Agate",Hyderabad,Budget Restaurant,Pizza,2020,4.4,9.8,28
R00577,Gulati LLC,Coimbatore,Cloud Kitchen,Biryani,2018,3.9,4.4,23
R00578,Sami-Suresh,Chennai,Cloud Kitchen,Desserts,2023,4.7,5.3,16
R00579,"Mallick, Gole and Vig",Chennai,Cloud Kitchen,Chinese,2021,4.6,8.4,20
